mapping_num,description,omop_concept_id,omop_concept_name
DX00001,"Cholera due to Vibrio cholerae 01, biovar eltor",200629,Cholera - Vibrio cholerae O1 El Tor biotype
DX00002,"Cholera due to vibrio cholerae 01, biovar eltor",200629,Cholera - Vibrio cholerae O1 El Tor biotype
DX00003,Typhoid and paratyphoid fevers,4091149,Typhoid and paratyphoid fevers
DX00004,Salmonella enteritis,196328,Enteric paratyphosis
DX00005,Salmonella enteritis,4288241,Salmonella enterica subsp. arizonae infection
DX00006,Other bacterial intestinal infections,193402,Bacterial enteritis
DX00007,Enteritis due to Clostridium difficile,193688,Clostridium difficile infection
DX00008,Other bacterial intestinal infections,193402,Bacterial enteritis
DX00009,Bacterial enteritis NOS,193402,Bacterial enteritis
DX00010,Enteritis due to clostridium difficile,193688,Clostridium difficile infection
DX00011,Rotaviral enteritis,199718,Enteritis due to rotavirus
DX00012,Acute gastroenteropathy due to Norwalk agent,196895,Viral gastroenteritis due to Norwalk-like agents
DX00013,Other viral enteritis,196620,Viral enteritis
DX00014,Viral gastroenteritis NOS,198678,Intestinal infectious disease
DX00015,Rotaviral enteritis,4188688,Viral gastroenteritis due to Rotavirus
DX00016,Acute gastroenteropathy due to norwalk agent,196895,Viral gastroenteritis due to Norwalk-like agents
DX00017,Other viral enteritis,196620,Viral enteritis
DX00018,Other gastroenteritis and colitis of infectious and unspecified origin,4193657,Colitis presumed infectious
DX00018,Other gastroenteritis and colitis of infectious and unspecified origin,4211852,Gastroenteritis presumed infectious
DX00019,Other and unspecified gastroenteritis and colitis of infectious origin,4193657,Colitis presumed infectious
DX00019,Other and unspecified gastroenteritis and colitis of infectious origin,4211852,Gastroenteritis presumed infectious
DX00020,"Infectious diarrhea, NOS",198337,Infectious diarrheal disease
DX00021,Infectious enterocolitis,198062,"Infectious colitis, enteritis and gastroenteritis"
DX00022,Gastroenteritis and colitis of unspecified origin,4101468,Gastroenteritis
DX00022,Gastroenteritis and colitis of unspecified origin,4272488,Colitis
DX00023,Diarrhea NOS,198062,"Infectious colitis, enteritis and gastroenteritis"
DX00024,Acute gastroenteritis,4289001,Acute gastroenteritis
DX00025,Other and unspecified gastroenteritis and colitis of infectious origin,4193657,Colitis presumed infectious
DX00025,Other and unspecified gastroenteritis and colitis of infectious origin,4211852,Gastroenteritis presumed infectious
DX00026,Gastroenteritis and colitis of unspecified origin,4101468,Gastroenteritis
DX00026,Gastroenteritis and colitis of unspecified origin,4272488,Colitis
DX00027,"Respiratory tuberculosis, bacteriologically and histologically confirmed",4091163,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
DX00028,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",253954,PTB - Pulmonary tuberculosis
DX00029,"Tuberculosis of lung, confirmed by culture only",253121,"Tuberculosis of lung, confirmed by culture only"
DX00030,"Tuberculosis of lung, confirmed histologically",256018,"Tuberculosis of lung, confirmed histologically"
DX00031,"Tuberculosis of lung, confirmed by unspecified means",434557,Tuberculosis
DX00032,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",256896,Tuberculosis of bronchus
DX00033,"Tuberculous pleurisy, confirmed bacteriologically and histologically",261495,Tuberculous pleuritis
DX00034,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",432541,Primary tuberculosis
DX00035,"Respiratory tuberculosis, bacteriologically and histologically confirmed",253954,PTB - Pulmonary tuberculosis
DX00036,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
DX00037,"Tuberculosis of lung with cavitation, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
DX00038,"Tuberculosis of lung without cavitation or unspecified, confirmed by sputum microscopy with or without culture",255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
DX00039,"Tuberculosis of lung, confirmed by culture only",253121,"Tuberculosis of lung, confirmed by culture only"
DX00040,"Tuberculosis of lung, confirmed histologically",256018,"Tuberculosis of lung, confirmed histologically"
DX00041,"Tuberculosis of lung, confirmed by unspecified means",253954,PTB - Pulmonary tuberculosis
DX00042,"Tuberculosis of lung without cavitation or unspecified, confirmed by unspecified means",253954,PTB - Pulmonary tuberculosis
DX00043,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",4088075,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
DX00044,"Tuberculous pleurisy, confirmed bacteriologically and histologically",4090539,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
DX00045,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",4091166,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
DX00046,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
DX00047,"Tuberculosis of lung, bacteriologically and histologically negative",4091167,"Tuberculosis of lung, bacteriologically and histologically negative"
DX00048,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",434557,Tuberculosis
DX00049,"Tuberculosis of lung NOS, without cavitation or unspecified",434557,Tuberculosis
DX00050,Tuberculosis of lung NOS,434557,Tuberculosis
DX00051,Tuberculous fibrosis of lung NOS,258335,Tuberculous fibrosis of lung
DX00052,Tuberculous pneumonia NOS,254266,Tuberculous pneumonia
DX00053,Tuberculosis of bronchus NOS,256896,Tuberculosis of bronchus
DX00054,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",261495,Tuberculous pleuritis
DX00055,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
DX00056,Primary respiratory tuberculosis NOS,253954,PTB - Pulmonary tuberculosis
DX00057,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
DX00058,"Respiratory tuberculosis NOS, without cavitation or unspecified",253954,PTB - Pulmonary tuberculosis
DX00059,Respiratory tuberculosis NOS,253954,PTB - Pulmonary tuberculosis
DX00060,Tuberculosis NOS,434557,Tuberculosis
DX00061,"Tuberculosis of lung, bacteriologically and histologically negative",4091167,"Tuberculosis of lung, bacteriologically and histologically negative"
DX00062,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
DX00063,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confir",134851,Tuberculosis of intrathoracic lymph nodes
DX00064,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",261495,Tuberculous pleuritis
DX00065,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
DX00066,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmatio",261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
DX00067,Tuberculosis of meningitis,441775,Tuberculosis of meninges
DX00068,Tuberculosis of meningitis,441775,Tuberculosis of meninges
DX00069,Tuberculosis of other organs,434557,Tuberculosis
DX00070,Tuberculosis of genitourinary system,73686,Tuberculosis of genitourinary system
DX00071,Tuberculous peripheral lymphadenopathy,432236,Tuberculosis of peripheral lymph nodes
DX00072,Tuberculous lymphadenitis of cervical,432236,Tuberculosis of peripheral lymph nodes
