localcodename,concept_id,CONCEPT_NAME
"(비)선택적 경추간공 경막외Block,2level부터(경추및흉추)",4118957,Local anesthetic thoracic epidural block
"(조사)백혈구 여과 제거 혈소판, 전혈 400ml",2720530,"Platelets, leukocytes reduced, each unit"
"(ER전용,수기료) 폐쇄식흉강삽관술(전문의시행)",4150693,Tube thoracostomy with water seal
가온가습고유량비강캐뉼라요법(1일당),4155151,Oxygen administration by nasal cannula
각막내피 세포촬영,2007826,Fundus photography
"경부림프절청소술(타수술동시,양측)",2002322,"Radical neck dissection, bilateral"
교감신경절 Block (요부),4142322,Sympathetic nerve or ganglion block
대장내시경,2002703,Colonoscopy
미술 심리치료,2213548,Group psychotherapy (other than of a multiple-family group)
부비동내시경하생검,4010253,Nasal sinus endoscopy
신경과 인지기능검사1,44790514,Neuropsychology test of memory
신경심리검사3,46285210,Assessment using Attentional Capacity Test
심근 단일광자전산화단층촬영(약물부하),40756922,"Myocardial perfusion imaging, tomographic (SPECT) (including attenuation correction, qualitative or quantitative wall motion, ejection fraction by first pass or gated technique, additional quantification, when performed); single study, at rest or stress ("
양수량측정&도플러(태아),4306147,Diagnostic Doppler ultrasonography
언어능력검사 및 치료(성형외과),2007658,Other speech training and therapy
여과 백혈구제거 적혈구 400CC,2720522,"Red blood cells, leukocytes reduced, each unit"
"체외충격파쇄석술(2회부터5회까지,1회당)",2109635,"Lithotripsy, extracorporeal shock wave"
초음파 수기료(동/정맥 중 1+고난이도 신경 차단 보조,4306147,Diagnostic Doppler ultrasonography
치료적 저체온요법 관리료(Cool Line카테터삽입 다음?,44515613,Hypothermia therapy
ACL Reconstuction,4346964,Reconstruction of posterior cruciate ligament of knee joint
ALVEOLOPLASTYE(1치당),2001148,Alveoloplasty
"B5-Tendon Grafting, Muscle/Tendon Transf L",4072048,Reconstruction of tendon sheath
Basic Anes.management for ihr,4145786,Endotracheal anesthesia
"Bone Densitometry, Simple Total Body",4086416,Dual energy X-ray photon absorptiometry
Brachial Plexus Anesthe.,4262378,Injection of anesthetic agent into brachial plexus
BURN DRESSING,4233678,Application of dressing for burn
Cell saver이용한 자가수혈료,40492966,Autologous transfusion of blood components
Colonoscopic Biopsy,2002703,Colonoscopy
"Control of Epistaxis,Electric Cauterization(ENT)",2001007,Control of epistaxis by cauterization (and packing)
CSL(초회),44788943,Speech assessment
CT GUIDED BX(PELVIS ORGAN),40756931,"Computed tomography, abdomen and pelvis; without contrast material"
"CT PELVIS(조영제미사용,기타)",40756931,"Computed tomography, abdomen and pelvis; without contrast material"
Cystometry & Uroflownetry,4099391,Urodynamic studies
Decubitus care(좌측하지),4080499,Dressing of wound
Diagnostic Block/Gasserian Ganglion(DENT),4140397,Local anesthetic nerve block
EKG monitoring with 24hrs EKG,4187078,Electrocardiographic monitoring
"Epidural PCA(만성통증, 중증질환술후통증, 암수술후 통증)",4194195,"Epidural injection of anesthetic substance, therapeutic, caudal, continuous"
ESWL 1회실시,2109635,"Lithotripsy, extracorporeal shock wave"
EXAM.OF LACRIMAL SECRETION,4064323,Schirmer's test
"explo Myomectomy, Abdominal,Complex",4169931,Uterine myomectomy
FAST USG(ER용),4306147,Diagnostic Doppler ultrasonography
Gas Enema,2211534,"Therapeutic enema, contrast or air, for reduction of intussusception or other intraluminal obstruction (eg, meconium ileus)"
HGH(30MIN),4178807,Endocrine radiologic studies
I&D of Peritonsillar Abscess,2108797,Incision and drainage abscess; peritonsillar
IMRT (B)(강도변조 방사선치료),40480519,Intensity modulated radiation therapy
"Individual Supportive Psychotherapy, 30-45 분",2007730,Individual psychotherapy
Intraaortic ballon pump,4142475,Intraaortic balloon pump maintenance
Intraop Neuro Monitor 3hr,43528024,"Continuous intraoperative neurophysiology monitoring in the operating room, one on one monitoring requiring personal attendance, each 15 minutes (List separately in addition to code for primary procedure)"
IUD,2110194,Insertion of intrauterine device (IUD)
L-C GI Filling Simple(Dr.),4082339,Insertion of glass-ionomer cement restoration into tooth
LIDOCAIN & KETAMIN Infusion,4082996,Intravenous induction of general anesthesia
Macular OCT(Unilateral),4144452,Optical coherence tomography of eye region
"MMSE,간이정신진단검사",2007707,Psychiatric mental status determination
Musculoskeletal sono-guided inj.,4306147,Diagnostic Doppler ultrasonography
Nelaton Catheterization,4075951,Intermittent urethral catheterization
"O/R Others, Hand, Foot L",2104639,"Open treatment of metacarpal fracture, single, includes internal fixation, when performed, each bone"
"Open Reduction of Fracture, Tibia",4290017,Open reduction of fracture of ulna
OPERATION FOR INTRA CRANIAL AN-Simple,4224511,"Application of clamp to cerebral aneurysm, Crutchfield or Silverstone"
"Operation of Myositis, Other",4106035,Drainage of intramuscular abscess
"pin.remove clavicle,patella",4093280,Removal of internal fixation device from patella
"pin.remove clavicle,patella",4142634,Removal of internal fixation device from clavicle
"Position Change with Massage, Daily",44802448,Prompting to change position
Radical sigmoid colectomy c LND,4166855,Anterior resection of rectum
"Re-I&D, (Within 15 Days) Buccal Mucosa,Mouth Floor, Tongue Abscess",4172660,"Incision and drainage of sublingual abscess, intraoral"
"Removal of Brain Tumor, Small",4304384,Removal of foreign body from sphenoid sinus
"Removal of Fixation Device, Patella,Tarsal",43531173,Open reduction of dislocation of patellofemoral joint
"Removal of Fixation Device,대퇴부위이외,간단",4307369,Removal of internal fixation device from scapula
Removal of Pin,2102932,"Removal of implant; superficial (eg, buried wire, pin or rod) (separate procedure)"
"Removal of Plate or screw,하퇴,상박",4307369,Removal of internal fixation device from scapula
Rotation Test,4064324,Rotational test
Rotation test(단순),4064324,Rotational test
S15-Canal down Mastoidectomy,2000947,Mastoidectomy
S1-Debridement of Labrum,4027004,Excision of joint
S5-Acromioplasty & Rotator cuff Repair c Myoplasty & Tendoplasty,4209151,Repair of musculotendinous cuff of shoulder
S5-Anterior Capsular Release,4072048,Reconstruction of tendon sheath
"S6-Discectomy, Lumbar",4083391,Excision of lumbar intervertebral disc
SALIVARY GLAND,2211951,Salivary gland imaging
Single Port treat.plan(1st),4036254,Radiotherapy planning using a simulator
Somatosensory evoked potential,2314139,"Short-latency somatosensory evoked potential study, stimulation of any/all peripheral nerves or skin sites, recording from the central nervous system; in upper limbs"
Subcutaneous Tenotomy L,4234382,Ligation of blood vessel
Subdural or extradural,2110419,"Craniectomy or craniotomy for evacuation of hematoma, supratentorial; extradural or subdural"
SURGICAL REMOVAL OF TOOTH,2001119,Surgical removal of tooth
Thyroid & Neck USG(NEW),4306147,Diagnostic Doppler ultrasonography
THYROID USG,4306147,Diagnostic Doppler ultrasonography
TMJ Arthroscopic Arthrocentesis,40488485,Arthrocentesis of temporomandibular joint
TOS Test(동맥성 흉곽출구 증후군검사),4306147,Diagnostic Doppler ultrasonography
VRP(Voice Range Profile),44788943,Speech assessment
겸자또는흡인분만초산제1태아,4114637,Forceps delivery
모유수유간호관리료(1일당),4257051,Breast feeding support management
사지정맥류국소제거술(경화요법7부위이상),4039628,Injection of sclerosing agent in varicose vein
외부병원CT판독료(Upper Extremity),2211461,"Computed tomography, upper extremity; without contrast material"
"Allergy Test, 소피시험 20종",4139686,Diagnostic intradermal inoculation of skin
BRAIN MR ANGIO(조영제사용),2211345,"Magnetic resonance angiography, head; without contrast material(s)"
CAPD bag 교환 (1일당),46271816,Management of peritoneal dialysis
Cautery of Pharynx,4099751,Cauterization
Cold Pack,4056803,Cold therapy
Comprehensive Ajou Neuropsychological Examination,44790508,Neuropsychology test of language
CT ABDOMEN(dynamic),4061009,CT of abdomen
"FISH,AML Panel",4142271,Fluorescence in situ hybridization
GOLD INLAY CLASS 1,2001122,Restoration of tooth by filling
Infrared,4148273,Heat therapy
Inlay remake / moderate,2001122,Restoration of tooth by filling
Monovac Skin Test,4205590,Skin test
PPD Skin Test,4205590,Skin test
Reconstruction of Orbital Fx.,4033507,Open reduction of fracture of orbit
Removal of Fractured Tooth Fragment,44509860,Other specified surgical removal of tooth
"S3-Revision of Amput. Stump (finger,toe) (보험)",2006268,Revision of amputation stump
Short Leg Walking Scotch Cast,2105894,Application of short leg cast (below knee to toes); walking or ambulatory type
"Sympathetic Ganglionectomy, Thoracic, Open",4066910,Thoracic surgical sympathectomy
TCD dizziness,4306147,Diagnostic Doppler ultrasonography
Thumb Spica Cast Repair,4231924,Application of short arm cast
TRACTION(SKULL),4035591,Application of skull traction
U/S (Breast),2792048,Ultrasonography of Bilateral Kidneys
U/S GB,44514581,Ultrasound of abdomen
U/S guide,46271868,Ultrasonography of thoracic outlet
Uroflowmetry(무상),2007020,Uroflowmetry [UFR]
Ventilator(30분까지),4230167,Artificial respiration
"(1범위)SCALP SUTURE, 5.0CM이상",44513189,Other specified suture of skin of head or neck
"(1범위)SIMPLE SUTURE, OTHERS, 5.0CM이상",4125906,Suture open wound
(비)척추후근신경절(DRG) Block,4335033,Dorsal root ganglion block
(전공의)창상봉합안면단순2-1범위1.5미만,46233035,Suture of skin of head or neck
(전문의)창상봉합술안면외변연1범위2.5미만,4057680,Debridement and suture
가정간호 Decubitus Care,4080499,Dressing of wound
관상동맥우회술시 혈류량측정(재료 1개 사용),4306147,Diagnostic Doppler ultrasonography
레이노드+수족지동맥검사(digital),4306147,Diagnostic Doppler ultrasonography
말초혈액조혈모세포수집(자가),2108442,"Blood-derived hematopoietic progenitor cell harvesting for transplantation, per collection; autologous"
"미술치료(초진,외래,개인)",44804575,Parent education about child health
반복 신경자극검사(PM),4098784,Repetitive nerve stimulation
비디오전기안진검사-시운동성안진및시운동후안진검사,4246330,Electronystagmogram
비디오전기안진검사-자발및주시안진검사,4246330,Electronystagmogram
사회성 증진 프로그램 1회,44804575,Parent education about child health
상지(양) NCV,43528016,Nerve conduction studies; 1-2 studies
액와 감시림프절절제술(방사선검출기이용),40481912,Excision of sentinel lymph node
약물이용한 수면뇌파(디지털),4088246,Sleep electroencephalogram
여과백혈구제거적혈구400CC,2720522,"Red blood cells, leukocytes reduced, each unit"
"요류속도검사(주치의,간호사시행)",2109740,"Complex uroflowmetry (eg, calibrated electronic equipment)"
창상봉합술안면변연2-1범위근육,4057680,Debridement and suture
치매일상생활력척도(RM),45763923,Assessment of psychotic and behavioral symptoms of dementia
침상목욕,4238681,Bathing patient in bed
태아안녕초음파(2) 재회,4306147,Diagnostic Doppler ultrasonography
Abdominal USG(초진)GS용,4306147,Diagnostic Doppler ultrasonography
ABSCESS OF TONGUE OR MOUTH OF FLOOR,4172660,"Incision and drainage of sublingual abscess, intraoral"
Activity of Daily Living(Barthel & S-IADL),45763923,Assessment of psychotic and behavioral symptoms of dementia
ADH,4178807,Endocrine radiologic studies
B14-Endoscopic Adenoidectomy,4017578,Endoscopy of adenoid
Brain MRI(조영제미사용),2211351,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material"
"C/R c Internal Fixation,Carpal,Tarsal bone,Clavicle,Patella",2105720,"Open treatment of tarsal bone fracture (except talus and calcaneus), includes internal fixation, when performed, each"
"CLOSED REDUCTION(ELBOW,KNEE)",4242584,Closed reduction of dislocation
"Cystostomy, Troca, Percutaneous",2003765,Percutaneous cystostomy
"Dementia Rating(GDS1,CDR2각각)",4012809,Dementia test
Diagnostic Arthroscopy,4028987,Arthroscopy
Dialysate exchange or cath irrigation,46271816,Management of peritoneal dialysis
Doppler(pre op vascular screening),4306147,Diagnostic Doppler ultrasonography
Elbow Ultrasound-Guided Injection,4306147,Diagnostic Doppler ultrasonography
Endolaser Photocoagulation,4170911,Endolaser photocoagulation
"EXCISION(SHOULDER,KNEE)",4027004,Excision of joint
External Pacing On,4049402,Transthoracic cardiac pacing procedure
Extirpation of Adnexal Malig.Radical c Hysterectomy,43021519,Bilateral oophorectomy for malignant neoplasm of ovary
Extraction of Deciduous Tooth,2001117,Extraction of deciduous tooth
Femoral Nerve Block,4336456,Local anesthetic femoral nerve block
"F-wave NCV(하지,편측)",4198105,Nerve conduction study
"Hepatectomy, Lobectomy",4312613,Lobectomy of liver
In bed scale,44802448,Prompting to change position
incision안면경부이외1CM미만,4147894,Incision
IOM(intraoperative moni.),4306147,Diagnostic Doppler ultrasonography
laparoscopic Excision of Paraovarian Cyst,44513521,Other specified bilateral excision of adnexa of uterus
laparoscopic Extirpation of Adnexal Tumor(Unilateral),44513521,Other specified bilateral excision of adnexa of uterus
laparoscopic Salpingo-Oophorectomy(Bilateral),44513521,Other specified bilateral excision of adnexa of uterus
LIVER ASPIRATION,4095392,Deep fine needle aspiration biopsy under radiologic guidance
L-Tube Natural Drainage,4124141,Continuous suction drainage
Malignant-radical&TAH,43021519,Bilateral oophorectomy for malignant neoplasm of ovary
"Manometry, Esophageal, Standard",2007036,Esophageal manometry
Median Nerve SEP(PM),2314139,"Short-latency somatosensory evoked potential study, stimulation of any/all peripheral nerves or skin sites, recording from the central nervous system; in upper limbs"
MMPI-Ⅱ(성인용),4195310,Minnesota multiphasic personality inventory
NASO PHARYNGOSCOPY,2001252,Pharyngoscopy
Nasopharyngoscopy,2001252,Pharyngoscopy
NECK LYMPHATIC DISSECTION,2002311,"Radical neck dissection, unilateral"
Neurofeeback(30mins),4104824,Electroencephalographic biofeedback
OSTEOTOMY(LOWER.EXTREMITY),4305752,Osteotomy
PAPER PATCH OF T.M,4194119,"Tympanic membrane repair with perforation, closure with patch"
PCL Reconstruction,4343674,Reconstruction of anterior cruciate ligament of knee joint
PCNA(muscle& soft tissue),4324613,Fine needle aspiration biopsy of soft tissue
Periretinal Membrane Peeling,4149459,Preretinal membranectomy by peeling
PFT with bronchodilator Inhalation (5종),2314004,"Spirometry, including graphic record, total and timed vital capacity, expiratory flow rate measurement(s), with or without maximal voluntary ventilation"
Post Coital Test,4099682,Sperm-cervical mucus interaction test
postOP bleeding control,4168088,Postoperative hemorrhage control
Prostate USG(비뇨기과용),4306147,Diagnostic Doppler ultrasonography
Prostatic Massage,2008414,Prostatic massage
"Removal of Dental Calculus, Simple-D.H용",4271594,"Dental prophylaxis, adult"
Removal of Foreign Body in Muscle,2102932,"Removal of implant; superficial (eg, buried wire, pin or rod) (separate procedure)"
Repetative Nerve Stimulation(RM),4098784,Repetitive nerve stimulation
"S1-Operation for Bone Tuberculosis, Femur",4101040,Osteomyelitis drainage
"S6-Discectomy, Lumbar",4124750,Total laminectomy
Sedation sleep EEG,4088246,Sleep electroencephalogram
SIMPLE TYPE,4343908,Ligament reconstruction
Sputum Induction Test,4151422,Sputum examination
Subcutaneous Tenotomy M,4234382,Ligation of blood vessel
"Suture, Transsection of Muscle, Tendon, Ligament",4041632,Subcutaneous tenotomy
"Thyroidectomy,Subtotal,Uni. by Endoscopy",44508167,Subtotal thyroidectomy
TMS/20분(Transcranial Magnetic Stimulation),4130731,Transcranial magnetic stimulation
Tracheal Clean up,4164516,Suction drainage
Transurethral Subureteral Injection,4299721,Transurethral removal of foreign body from bladder
TYMPANO PLASTY,2111234,"Tympanoplasty without mastoidectomy (including canalplasty, atticotomy and/or middle ear surgery), initial or revision; without ossicular chain reconstruction"
U/S musculoskeletal multiple site(4부위),4306147,Diagnostic Doppler ultrasonography
U/S Trauma(E-FAST),4306147,Diagnostic Doppler ultrasonography
Ultrasonogram F/U,2211741,"Ultrasound, abdominal, real time with image documentation; limited (eg, single organ, quadrant, follow-up)"
VARICOCELECTOMY,4265676,Excision of varicocele
Vessle ligation laparotomy,4234382,Ligation of blood vessel
Wound Irrigation,4080499,Dressing of wound
"(1범위)DEBRIDEMENT & SUTURE,FACE OR NECK,근육에 달하는 것",4057680,Debridement and suture
"(1범위)INCISION, FACE OR NECK,1CM미만",4075473,Incision of skin of head or neck
감시하 정맥마취(기본 30분 기준),4082996,Intravenous induction of general anesthesia
말-언어 평가1(선별검사),44788941,Language expression assessment
운동재활 신장분사치료(중증),4160168,Physiatric stretching of muscle
자가 Ventilator용 산소 2L/min,4239130,Oxygen therapy
재활 경부 초음파,4082510,Ultrasonography of head and neck
집중면역치료주사처치료 A,4057262,Hyposensitization to allergens
BAEP(NS),4271435,Visual evoked potential study
cholangiography MRI,4194588,Magnetic resonance cholangiopancreatography
"Control of Epistaxis,Posterior Nasal Packing(ENT)",4168085,Nasal packing for control of hemorrhage
"FISH,TP53(17p13.1)/CEP17",4142271,Fluorescence in situ hybridization
GDX,2007842,Objective functional tests of eye
"Gingivectomy,Crown Lengthening",4125944,Gingivectomy
GROUP PSYCHOTHERAPY(PSYCHODRA),2007763,Psychodrama
GYN Ultrasonography with Doppler,46271868,Ultrasonography of thoracic outlet
GYN US level 3,4305221,US scan of abdomen and pelvis
