row,devicename,concept_id,concept_name
1,100MM VERSASTEP 11MM VS101011,45763434,Laparoscopic trocar
2,100MM VERSASTEP 12MM VS101012,45763434,Laparoscopic trocar
3,100MM VERSASTEP 5MM VS101005,45763434,Laparoscopic trocar
4,2.0 MF CORTEX SCREW 4MM-18MM,45773261,"Craniofacial bone screw, non-bioabsorbable"
5,2.3 THREADED LOCKING SCREW,4105219,Locking screw
6,2.4 EMERGENCY SCREW 6MM-12MM,45773261,"Craniofacial bone screw, non-bioabsorbable"
7,2/3MM BLADELESS TROCAR 65MM 23NBS,45763434,Laparoscopic trocar
8,2/3MM BLADELESS TROCAR LONG 23NBL,45763434,Laparoscopic trocar
9,221 1단계(20-30mmHg)코튼무릎형,4082555,Antithromboembolic stockings
10,222 2단계(30-40mmHg)코튼 무릎형,4082555,Antithromboembolic stockings
11,222 2단계(30-40mmHg)코튼 한쪽다리형,4082555,Antithromboembolic stockings
12,222 2단계(30-40mmHg)코튼 허벅지형,4082555,Antithromboembolic stockings
13,223 3단계(40-50mmHg)코튼 허벅지형,4082555,Antithromboembolic stockings
14,2Lumen CYS & UPP CATHETER 6F 9021P5062,4070667,Urinary catheter
15,2Lumen CYS & UPP CATHETER 8F 9021P5082,4070667,Urinary catheter
16,2Lumen CYSTOMETRY CATHETER 8F 9021P5282,4070667,Urinary catheter
17,2nd SKIN SCAR GEL-15G,4212912,Silicone gel dressing
18,2ND SKIN SCARGEL 15G,4212912,Silicone gel dressing
19,2-WAY FOLEY CATHETER 10FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
20,2-WAY FOLEY CATHETER 12FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
21,2-WAY FOLEY CATHETER 14FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
22,2-WAY FOLEY CATHETER 16FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
23,2-WAY FOLEY CATHETER 18FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
24,2-WAY FOLEY CATHETER 20FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
25,2-WAY FOLEY CATHETER 22FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
26,2-WAY FOLEY CATHETER 24FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
27,2-WAY FOLEY CATHETER 26FR(S),2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
