mapping_num,description,omop_concept_id,omop_concept_name
DR00001,(국가지원)Tamiflu cap 75mg,1799141,Oseltamivir 75 MG Oral Capsule
DR00002,(노란색)Cozaar Plus tab,40184187,Hydrochlorothiazide 12.5 MG / Losartan Potassium 50 MG Oral Tablet
DR00003,(마) Jurnista IR tab 2mg,40173098,Hydromorphone Hydrochloride 2 MG Oral Tablet
DR00004,(마) Jurnista SR tab 4mg,40173131,Hydromorphone Hydrochloride 4 MG Oral Tablet
DR00005,(마)12ug/h Durogesic D-trans PA,19121195,Fentanyl 0.012 MG/HR 72 Hour Transdermal Patch
DR00006,(마)40MG/Tab. Oxycontin CR Tab.,40232750,Oxycodone Hydrochloride 40 MG Extended Release Tablet
DR00007,(마)황몰핀주사 30mg/2ml/AM,40169936,Morphine Sulfate 15 MG/ML Injectable Solution
DR00008,(마)Alfentanil inj 2ml/AM(하나),19072389,Alfentanil 0.5 MG/ML Injectable Solution
DR00009,(마)Morphine HCl 10mg/1ml/AM,40169902,Morphine Sulfate 10 MG/ML Injectable Solution
DR00010,(마)Ocodone SR 10mg tab,40232704,Oxycodone Hydrochloride 10 MG Extended Release Tablet
DR00011,(마)Oxycontin CR 10MG/Tab.,40232704,Oxycodone Hydrochloride 10 MG Extended Release Tablet
DR00012,(마)Pethidine 50mg/1ml/AM,40165020,Meperidine Hydrochloride 50 MG/ML Injectable Solution
DR00013,(마)Ultiva inj 1mg/VI,19016773,remifentanil 1 MG/ML Injectable Solution
DR00014,(마약)IRcodon tab 5mg,40232756,Oxycodone Hydrochloride 5 MG Oral Tablet
DR00015,(마취)Marcaine Heavy inj 20mg/4ml,40225967,Bupivacaine Hydrochloride 5 MG/ML Injectable Solution
DR00016,(마취용)Zofran inj 8mg/4ml,19070869,Ondansetron 2 MG/ML Injectable Solution
DR00017,(삼남)Loperamide cap 2mg,40184727,Loperamide Hydrochloride 2 MG Oral Capsule
DR00018,(서방정)Diamicron MR tab 30mg,19101729,Gliclazide 30 MG Extended Release Tablet
DR00019,(수)Perlinganit inj (50mg/50ml),1361860,Nitroglycerin 1 MG/ML Injectable Solution
DR00020,(신일)Pyridoxine tab 50mg,1353578,Vitamin B6 50 MG Oral Tablet
DR00021,(중외)Calcium chloride 3% 20ml/AM,19036781,Calcium Chloride
DR00022,(하원)Ceftriaxone inj. 2g/vi,1777806,Ceftriaxone
DR00023,(한림)Heparin inj 25000IU/5ml/VI,19077987,Heparin 5000 UNT/ML Injectable Solution
DR00024,* Depas Tab. 0.5MG/Tab.(향),1548197,Estradiol 0.5 MG Oral Tablet
DR00025,*10mg Penid Tab.(향),40236419,Methylphenidate Hydrochloride 10 MG Oral Tablet
