row,drugname,concept_id,concept_name
1,(마)구연산펜타닐 주 0.1mg/2ml/AM,19034073,Fentanyl 0.05 MG/ML Injectable Solution
2,(마)구연산펜타닐 주 0.5mg/10ml/AM,19034073,Fentanyl 0.05 MG/ML Injectable Solution
3,(마)듀로제식 디트랜스패취 12mcg/h,1154029,Fentanyl
4,(마)듀로제식 디트랜스패취 25mcg/h,1154062,72 HR Fentanyl 0.025 MG/HR Transdermal Patch
5,(마)듀로제식 디트랜스패취 50mcg/h,42903228,Fentanyl 0.05 MG/HR Transdermal Patch
6,(마)마이폴캅셀,19107122,Acetaminophen 250 MG / Codeine 10 MG / Ibuprofen 200 MG Oral Tablet
7,(마)마트리펜 패취 100㎍/h,42902560,Fentanyl 0.1 MG/HR Transdermal Patch
8,(마)마트리펜 패취 12㎍/h,42902404,Fentanyl 0.012 MG/HR Transdermal Patch
9,(마)마트리펜 패취 25㎍/h,42902803,Fentanyl 0.025 MG/HR Transdermal Patch
10,(마)명문염산페치딘주사 50mg/1ml,40165020,Meperidine Hydrochloride 50 MG/ML Injectable Solution
11,(마)명문인산코데인정 20mg,1201620,Codeine
12,(마)수펜탈 주 50mcg/1ml/AM,19078242,Sufentanil 0.05 MG/ML Injectable Solution
13,(마)아이알코돈 정 5mg,40232756,Oxycodone Hydrochloride 5 MG Oral Tablet
14,(마)알펜타닐 주사 0.05% 2ml,19072389,Alfentanil 0.5 MG/ML Injectable Solution
15,(마)엠에스알서방정 30mg,40169988,Morphine Sulfate 30 MG Extended Release Oral Tablet
16,(마)오코돈 서방정 10mg,40232704,Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet
17,(마)오코돈 서방정 20mg,40232727,Oxycodone Hydrochloride 20 MG Extended Release Oral Tablet
18,(마)하나염산페치딘 주 50mg/1ml/AM,40165020,Meperidine Hydrochloride 50 MG/ML Injectable Solution
19,(마)황몰핀주사 30mg/2ml/AM,40169936,Morphine Sulfate 15 MG/ML Injectable Solution
20,(마약)염산모르핀주 10mg/1ml/AM,1110410,Morphine
21,(마취)광명염산리도카인주사,40227049,Lidocaine Hydrochloride 20 MG/ML Injectable Solution
22,(마취)마케인 헤비주사 20mg/4ml,40225967,Bupivacaine Hydrochloride 5 MG/ML Injectable Solution
23,(마취)에스메론 주 50mg/5ml/VI,42707627,rocuronium bromide 10 MG/ML Injectable Solution
24,(마취)푸카인 주사 0.5%(100mg)20ml,40225967,Bupivacaine Hydrochloride 5 MG/ML Injectable Solution
25,(마취)프레조폴 주 1% 20ml(200mg/20ml/AM),753629,Propofol 10 MG/ML Injectable Suspension
26,(마취)프레조폴 주 2% 50ml(1000mg/50ml/VI),753627,Propofol 20 MG/ML Injectable Suspension
27,(수) 화레스톤정 40mg,1342346,Toremifene
28,(수)나보반 주사 5mg/5ml/AMP,19002831,tropisetron 1 MG/ML Injectable Solution
29,(수)나보반 캅셀 5mg,19002832,tropisetron 5 MG Oral Capsule
30,(수)니트로프루시드주 50MG,19058101,2 ML Sodium Nitroprusside 25 MG/ML Injection
31,(수)소니피란 주,21603783,Other antineoplastic agents
32,(수)티가손 10MG,929639,Acitretin 10 MG Oral Capsule
33,(수)페링가니트 0.1% 주사,1361860,Nitroglycerin 1 MG/ML Injectable Solution
34,(수)힐론,42708577,0.85 ML Sodium Hyaluronate 10 MG/ML Prefilled Syringe
35,(조)티 에이취 에이 2% 10ML,40184414,Homatropine hydrobromide 20 MG/ML Ophthalmic Solution
36,(조)티-에이티 1% 10ML,40243447,Atropine Sulfate 10 MG/ML Ophthalmic Solution
37,(처치용)중외엔에스주사액50ml(PP),967823,Sodium Chloride
38,(하원)세프트리악손 주 1g/VI,19074975,Ceftriaxone 100 MG/ML Injectable Solution
39,(하원)세프트리악손 주 2g/VI,1777806,Ceftriaxone
40,*센틸 정 5mg (향),19106229,clobazam 5 MG Oral Tablet
41,0.1%플루메토론 점안액 5ML,19077438,Fluorometholone 1 MG/ML Ophthalmic Suspension
42,0.3% 토브라 점안액,902741,Tobramycin 3 MG/ML Ophthalmic Solution
43,0.45% NS 1L/Bag,967905,Sodium Chloride 0.0769 MEQ/ML Injectable Solution
44,0.45% NS 1L/Bot (약국용),967905,Sodium Chloride 0.0769 MEQ/ML Injectable Solution
