localcodename,concept_id,CONCEPT_NAME
0.45%염화나트륨주사액 1000ML,967905,Sodium Chloride 0.0769 MEQ/ML Injectable Solution
5% D/S 500ML (P),36249702,Glucose 50 MG/ML / Sodium Chloride 9 MG/ML Injection
놀바덱스 정 10mg,19019851,Tamoxifen 10 MG Oral Tablet
뉴트리플렉스리피드페리주사 1250ml,21601159,combinations
도부란 주 250mg/5ml/AM,19065473,Dobutamine 50 MG/ML Injectable Solution
로칼트롤 0.25MCG,19074492,Calcitriol 0.00025 MG Oral Capsule
루프린 주,1351624,Leuprolide Acetate 3.75 MG/ML Injectable Suspension
메게이스 현탁액 40mg/ml,40164972,Megestrol Acetate 40 MG/ML Oral Suspension
명인 페르페나진 정 4mg,19019530,Perphenazine 4 MG Oral Tablet
모틴 주 20mg/VI,953076,Famotidine
뮤코라제 정,19106160,Streptodornase 2500 UNT / Streptokinase 10000 UNT Oral Tablet
반코신시피 500mg정주,21091310,Vancomycin 500 MG Injection
보령세프트리악손 주 2g,46287335,Ceftriaxone 2000 MG Injection
부광 케토푸로펜 주 100MG,1185963,Ketoprofen 50 MG/ML Injectable Solution
비아그라 정 100mg,1316269,sildenafil 100 MG Oral Tablet
아달라트 오로스 정 60mg,19112981,Nifedipine 60 MG Extended Release Oral Tablet
아드리아마이신 50MG,40243759,Doxorubicin Hydrochloride 2 MG/ML Injectable Solution
아리미덱스 정 1mg,1348267,anastrozole 1 MG Oral Tablet
애드본 정 70mg,40173612,Alendronic acid 70 MG Oral Tablet
에스케이인플루엔자IX백신주0.5ml,43532842,"Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Prefilled Syringe"
올메텍 정 20mg,19096740,Olmesartan medoxomil 20 MG Oral Tablet
유박스 주 0.5ml(소아용),528325,Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension
중외 50% 포도당주사액 500ml(P),1560556,Glucose 500 MG/ML Injectable Solution
카프릴 정 25mg,1340161,Captopril 25 MG Oral Tablet
콤탄 정 200mg,19082346,entacapone 200 MG Oral Tablet
타가메트 주,19062433,Cimetidine 100 MG/ML Injectable Solution
탁솔 주 30mg,1378385,Paclitaxel 6 MG/ML Injectable Solution
테트로닌 정 20mcg,40174307,liothyronine sodium 0.02 MG Oral Tablet
트윈스타 정 80/5mg,40167852,Amlodipine 5 MG / telmisartan 80 MG Oral Tablet
포스테오 주 (28dose)/2.4ml/pen,21075771,Teriparatide 0.25 MG/ML Prefilled Syringe
하이퍼테트 주 250IU/VI,35604680,Tetanus immune globulin
한림프로타민황산염주사액 50mg/5ml/AM,36249935,Protamine Sulfate (USP) 10 MG/ML Injection
Actiq Tab 400mcg,1154280,Fentanyl 0.4 MG Buccal Tablet
ACTonel EC Tab 35mg,40228826,risedronate sodium 35 MG Delayed Release Oral Tablet
Adalat Oros Tab 30mg,19112979,Nifedipine 30 MG Extended Release Oral Tablet
Anepol Inj 120mg/12ml,753629,Propofol 10 MG/ML Injectable Suspension
Angeliq 28Tab/Pak,19122182,drospirenone 2 MG / Ethinyl Estradiol 1 MG Oral Tablet
Cetraxal Plus Ear Drop,42629036,Ciprofloxacin 3 MG/ML / Fluocinolone Acetonide 0.25 MG/ML Otic Solution
Cytarabine Inj 100mg/5ml,1311078,Cytarabine
