row,procedurename,concept_id,concept_name
1,"(1범위)DEBRIDEMENT & SUTURE,FACE OR NECK,1.5~3.0CM미만",4057680,Debridement and suture
2,"(1범위)DEBRIDEMENT & SUTURE,FACE OR NECK,1.5CM미만",4057680,Debridement and suture
3,"(1범위)DEBRIDEMENT & SUTURE,OTHERS,2.5~5.0CM미만",4057680,Debridement and suture
4,"(1범위)DEBRIDEMENT & SUTURE,OTHERS,2.5CM미만",4057680,Debridement and suture
5,"(1범위)DEBRIDEMENT & SUTURE,OTHERS,5.0CM이상",4057680,Debridement and suture
6,"(1범위)DEBRIDEMENT & SUTURE,OTHERS,근육에 달하는 것",4057680,Debridement and suture
7,"(1범위)INCISION & DRAINAGE, OTHER, 1~2CM미만",4147894,Incision
8,"(1범위)INCISION & DRAINAGE, OTHER, 1CM미만",4147894,Incision
9,"(1범위)INCISION & DRAINAGE, OTHER, 2CM이상",4147894,Incision
10,"(1범위)INCISION, OTHER, 1~2CM미만",4147894,Incision
11,"(1범위)INCISION, OTHER, 1CM미만",4147894,Incision
12,"(1범위)INCISION, OTHER, 2CM이상",4147894,Incision
13,"(1범위)SCALP Suture, 2.5~5.0CM미만",4125906,Suture open wound
14,"(1범위)SCALP Suture, 2.5CM미만",4125906,Suture open wound
15,"(1범위)SCALP SUTURE, 5.0CM이상",4125906,Suture open wound
16,"(1범위)SIMPLE SUTURE, FACE OR NECK, 1.5CM미만",4125906,Suture open wound
17,"(1범위)SIMPLE SUTURE, FACE OR NECK,1.5~3.0CM미만",4125906,Suture open wound
18,"(1범위)SIMPLE SUTURE, FACE OR NECK,3.0CM이상",4125906,Suture open wound
19,"(1범위)SIMPLE SUTURE, FACE OR NECK,근육에 달하는 것",4125906,Suture open wound
20,"(1범위)SIMPLE SUTURE, OTHERS, 2.5~5.0CM미만",4125906,Suture open wound
21,"(1범위)SIMPLE SUTURE, OTHERS, 2.5CM미만",4125906,Suture open wound
22,"(1범위)SIMPLE SUTURE, OTHERS, 5.0CM이상",4125906,Suture open wound
23,"(1범위)SIMPLE SUTURE, OTHERS, 근육에 달하는 것",4125906,Suture open wound
24,"(2범위)DEBRIDEMENT & SUTURE,FACE OR NECK,3.0CM이상",4057680,Debridement and suture
25,"(2범위)DEBRIDEMENT & SUTURE,FACE OR NECK,근육에 달하는 것",4057680,Debridement and suture
26,"(2범위)DEBRIDEMENT & SUTURE,OTHERS,2.5~5.0CM미만",4057680,Debridement and suture
27,"(2범위)DEBRIDEMENT & SUTURE,OTHERS,5.0CM이상",4057680,Debridement and suture
28,"(2범위)DEBRIDEMENT & SUTURE,OTHERS,근육에 달하는 것",4057680,Debridement and suture
29,"(2범위)SCALP SUTURE, 2.5CM미만",4088727,Closure by suture
30,"(2범위)SIMPLE SUTURE, FACE OR NECK,1.5CM미만",4088727,Closure by suture
31,"(2범위)SIMPLE SUTURE, OTHERS, 2.5~5.0CM미만",4125906,Suture open wound
32,"(2범위)SIMPLE SUTURE, OTHERS, 2.5CM미만",4125906,Suture open wound
33,"(2범위)SIMPLE SUTURE, OTHERS, 5.0CM이상",4088727,Closure by suture
34,"(2범위)SIMPLE SUTURE, OTHERS, 근육에 달하는 것",4088727,Closure by suture
35,(다종)백혈구여과제거성분채혈혈소판,2720533,"Platelets, pheresis, each unit"
36,(비)경막외 Block(경추및흉추),4120974,Local anesthetic cervical epidural block
37,(비)경막외 Block(경추및흉추),4118957,Local anesthetic thoracic epidural block
38,(비)경막외 Block(요추및천추),4110978,Local anesthetic lumbar epidural block
39,"(비)고주파 열 응고법, 경부이하,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
40,(비)교감신경절 Block (요부),4142322,Sympathetic nerve or ganglion block
41,(비)대퇴신경 Block,4336456,Local anesthetic femoral nerve block
42,(비)대퇴신경 Block *0.5,4336456,Local anesthetic femoral nerve block
43,(비)문치공 Block,4140397,Local anesthetic nerve block
44,"(비)선택적 경추간공 경막외Block,2level부터(경추및흉추)",4120974,Local anesthetic cervical epidural block
45,"(비)선택적 경추간공 경막외Block,2level부터(경추및흉추)",4118957,Local anesthetic thoracic epidural block
46,(비)성상신경절 Block,4142322,Sympathetic nerve or ganglion block
47,(비)액와신경 Block,4336448,Brachial plexus block by axillary approach
48,(비)좌골신경 Block,4200837,Injection of anesthetic agent into sciatic nerve
49,(비)척추후근신경절(DRG) Block,4335033,Dorsal root ganglion block
50,(비)후두신경 Block,4334897,Local anesthetic block of laryngeal nerve
51,(비)Peroneal Nerve Block,4336456,Local anesthetic femoral nerve block
52,(비)Post Tibial Nerve Block,4336456,Local anesthetic femoral nerve block
53,"(비)Pulsed RF Thermocoagulation,rootblock,Simple",44514762,Percutaneous radiofrequency ablation of lesion of bone
54,(비)Saphenous Nerve Block,4336456,Local anesthetic femoral nerve block
55,(상부)수면각성 Endo sono,4306147,Diagnostic Doppler ultrasonography
56,(상부)Endo sono,4306147,Diagnostic Doppler ultrasonography
57,(상부)Sleeping Endo sono,4306147,Diagnostic Doppler ultrasonography
58,(수)뇌 PET(보험),4327565,Positron emission tomography imaging of fluorodeoxyglucose metabolism of brain
59,(수)토르소 PET(보험),4201352,Positron emission tomography fluorodeoxyglucose imaging of whole body
60,"(수)토르소+부분PET(성인,비급여)",4201352,Positron emission tomography fluorodeoxyglucose imaging of whole body
61,"(수)토르소PET(성인,비급여)",4201352,Positron emission tomography fluorodeoxyglucose imaging of whole body
62,"(수)Brain PET(성인,비급여)",4327565,Positron emission tomography imaging of fluorodeoxyglucose metabolism of brain
63,(연구용)Brain PET-CT,4327565,Positron emission tomography imaging of fluorodeoxyglucose metabolism of brain
64,(응급실) 인공호흡8시간초과(1일당),4230167,Artificial respiration
65,(응급실)기관내삽관술,4013354,Insertion of endotracheal tube
66,(응급실)인공호흡( 12시간 초과 1일당 ),4230167,Artificial respiration
67,(응급실)인공호흡(3시간-8시간),4230167,Artificial respiration
68,(응급실)인공호흡(3시간까지),4230167,Artificial respiration
69,(자보)후각기능검사-역치,4091871,Olfaction test
70,(자보)후각기능검사-인지,4091871,Olfaction test
71,(재검사) 상부수면내시경초음파,4306147,Diagnostic Doppler ultrasonography
72,(재검사) 췌담도 내시경초음파,4306147,Diagnostic Doppler ultrasonography
73,(재검사) 췌담도수면내시경 초음파,4306147,Diagnostic Doppler ultrasonography
74,(재검사) 하부수면내시경 초음파,4306147,Diagnostic Doppler ultrasonography
75,(재검사)상부내시경초음파,4306147,Diagnostic Doppler ultrasonography
76,(재검사)초음파내시경하세침흡인시술,4306147,Diagnostic Doppler ultrasonography
77,(재검사)하부내시경초음파,4306147,Diagnostic Doppler ultrasonography
78,"(전공의)창상봉합 안면,변연 ,2-1 3cm이상또는근육",4057680,Debridement and suture
79,"(전공의)창상봉합 안면외,단순,2범위5cm이상또는근육",4088727,Closure by suture
80,"(전공의)창상봉합 안면외변연1범위근육,5cm이상또는근",4057680,Debridement and suture
81,"(전공의)창상봉합술 안면 외,변연 2 5cm이상또는근육",4057680,Debridement and suture
82,"(전공의)창상봉합술(안면 1범위, 1.5cm미만)",4125906,Suture open wound
83,(전공의)창상봉합술(안면외변연2범위2.5cm이상~5.0cm,4057680,Debridement and suture
84,(전공의)창상봉합술변연절제1범위1.5이상,4057680,Debridement and suture
85,(전공의)창상봉합술안면변연절제1범위1.5미만,4057680,Debridement and suture
86,(전공의)창상봉합술안면외단순1(근육),4125906,Suture open wound
87,(전공의)창상봉합술안면외단순2-1(2.5미만),4125906,Suture open wound
88,(전공의)창상봉합술안면외단순2-1(2.5이상),4125906,Suture open wound
89,(전공의)창상봉합술안면외변연1범위2.5미만,4057680,Debridement and suture
90,(전공의)창상봉합술안면외변연1범위2.5이상,4057680,Debridement and suture
91,(전공의)창상봉합술안면이외단순1범위2.5-5미만,4125906,Suture open wound
92,(전공의)창상봉합술안면이외단순1범위2.5미만,4125906,Suture open wound
93,"(전공의)창상봉합안면단순1범위3CM,근육",4125906,Suture open wound
94,(전공의)창상봉합안면단순2-1범위1.5미만,4088727,Closure by suture
95,"(조사)농축 혈소판, 전혈 320ml",2720525,"Platelets, each unit"
96,"(조사)농축적혈구, 전혈 320ml",2720527,"Red blood cells, each unit"
97,"(조사)농축적혈구, 전혈 320ml",2720527,"Red blood cells, each unit"
98,"(조사)농축적혈구, 전혈 400ml",2720527,"Red blood cells, each unit"
99,"(조사)백혈구 여과 제거 적혈구, 전혈 320ml",2720522,"Red blood cells, leukocytes reduced, each unit"
100,"(조사)백혈구 여과 제거 적혈구, 전혈 320ml",2720522,"Red blood cells, leukocytes reduced, each unit"
101,"(조사)백혈구 여과 제거 적혈구, 전혈 400ml",2720522,"Red blood cells, leukocytes reduced, each unit"
102,"(조사)백혈구 여과 제거 적혈구, 전혈 400ml",2720522,"Red blood cells, leukocytes reduced, each unit"
103,"(조사)백혈구 여과 제거 혈소판, 전혈 320ml",2720530,"Platelets, leukocytes reduced, each unit"
104,"(조사)백혈구 여과 제거 혈소판, 전혈 320ml",2720530,"Platelets, leukocytes reduced, each unit"
105,"(조사)백혈구 여과 제거 혈소판, 전혈 400ml",2720530,"Platelets, leukocytes reduced, each unit"
106,"(조사)백혈구 여과 제거 혈소판, 전혈 400ml",2720530,"Platelets, leukocytes reduced, each unit"
