localcodename,concept_id,CONCEPT_NAME
비용-생검 및 절제용 Forcep,45768039,Endotherapy forceps
장루용 복대(STOMA BELT) 7.0/XL,4087970,Ostomy belt
ACCUFUSER OMNIBUS 100ML,45758185,Patient-controlled analgesia infusion pump
ACE CANNULATED CANCELLOUS SCREW   6.5/80MM,45764905,Pin-sleeve orthopedic bone screw
ANGIO CATHETER GLB(JS),45771910,"Angiographic catheter, single-use"
Antibacterial Foley Cath 12Fr.,2614772,"Indwelling catheter, foley type, two-way, all silicone, each"
AORTIC CANNULA STR   12Fr.,45763508,Aorta cannula
AQUACEL AG-5*5,4246818,Silver dressing
Auto Suture TA60 Cartridge 3.5,45765046,"Open-surgery manual linear stapler, single-use"
BLACK SILK 4-0   W586,45760330,"Silk suture, sterile"
BLADELESS TROCAR-512HT,45763434,Laparoscopic trocar
BREATHING CIRCUIT(소아용) FISHER & PAYKEL RT RT226,45767464,"Respiratory gas heating wire, infant"
BRONCHO CATHETER 28L,45761254,Bronchial balloon catheter
CALI-GEL 350~560㎛,45764966,"Embolization particle, bioabsorbable"
CHROMIC 4-0   C435,45761207,"Catgut suture, chromic"
CLO-SUR PLUS P.A.D,4219052,Hemostat
COLOSTOMY CONVEX PLATE-50MM,4224190,Stoma flange
CONTOUR EMBOLI.   40-150,4008498,Embolization particulate
CONTOURED VALVE(S-MEDIUM) 42314,4124292,Cerebrospinal fluid shunt valve
"CORTEX SCREW, STAINLESS STEEL-4.5MM",4239189,Bone screw
CORTICAL HALF PIN,4231019,External fixator pin
CORTICAL SCREW   4.5/54MM,4239189,Bone screw
CPK FIX BANDAGE 8CM*10M,2721403,"Compression bandage, roll"
CUTTING PTCA BALLOON CAT,45761737,Cutting/scoring coronary angioplasty balloon catheter
CVP CATHETER SPECTRUM TRIPLE,4179206,Central venous catheter
CYPHER STENT,45772824,Drug-eluting coronary artery stent
DURAFORM 2.5CM*7.5CM,4104097,Dural substitute
E.V.D Catheter 3L-8L(율지),4234117,Ventricular intracranial catheter
EBO GRIP-OSTOMY BRACE (S),4087970,Ostomy belt
ECHELON 60 WHITE RELOAD CARTRIDGE ECR60W,45765044,"Endoscopic manual linear cutting stapler, single-use"
ENDO GIA ROTICULATOR 30-2.5,45765044,"Endoscopic manual linear cutting stapler, single-use"
