mapping_num,description,omop_concept_id,omop_concept_name
AN00001,마취위한 기관지경 삽관술,4311284,Bronchoscopic procedure
AN00002,마취중 산소포화도감시,4152650,Invasive oxygen saturation monitoring
AN00003,마취중 침습적동맥압감시(삽입료포함),4046988,Blood pressure monitoring
AN00004,치과전달마취(하치조신경블록),4332587,Inferior dental block
AN00005,치과전달마취(후상치조신경블록),4332586,Local anesthetic posterior superior alveolar nerve block
AN00006,CLOSED CIRCUIT ANESTHESIA MASK,40762835,Procedure anesthesia
AN00007,Dental infiltrative anesthesia,4332856,Local anesthetic dental infiltration
AN00008,ENDOTRCHEAL CLOSED CIRCUIT,4145786,Endotracheal anesthesia
AN00009,epidural A(무통분만),4040310,Injection of spinal anesthetic agent for analgesia
AN00010,EPIDURAL BLOCK,4078199,Local anaesthetic epidural block
AN00011,INTRAVENOUS GENERAL ANESTHESIA,4082996,Intravenous induction of general anaesthesia
AN00012,NERVE BLOCK,4210480,Nerve block
AN00013,SPINAL ANESTHESIA,4332593,Spinal anaesthesia
AN00014,Tyrosine,4040310,Injection of spinal anesthetic agent for analgesia
