row,diagname,concept_id,concept_name
1,Cholera,198677,Cholera
2,"Cholera due to Vibrio cholerae 01, biovar cholerae",198677,Cholera
3,"Cholera due to Vibrio cholerae 01, biovar eltor",200629,Cholera due to Vibrio cholerae El Tor
4,"Cholera, unspecified",198677,Cholera
5,Typhoid and paratyphoid fevers,4091149,Typhoid and paratyphoid fevers
6,Typhoid fever,192819,Typhoid fever
7,Infection due to Salmonella typhi,192819,Typhoid fever
8,Paratyphoid fever a,195460,Paratyphoid A fever
9,Paratyphoid fever B,193953,Paratyphoid B fever
10,Paratyphoid fever c,442291,Paratyphoid C fever
11,"Paratyphoid fever, unspecified",195177,Paratyphoid fever
12,Infection due to Salmonella paratyphi NOS,195177,Paratyphoid fever
13,Other salmonella infections,133685,Salmonella infection
14,Salmonella enteritis,4288241,Salmonella enterica subspecies arizonae infection
15,Salmonellosis,4288241,Salmonella enterica subspecies arizonae infection
16,Salmonella septicemia,40493039,Sepsis due to Salmonella
17,Localized salmonella infections,141209,Localized Salmonella infection
18,Salmonella pneumonia,141209,Localized Salmonella infection
19,Other specified salmonella infections,133685,Salmonella infection
20,"Salmonella infection, unspecified",133685,Salmonella infection
21,Salmonella septicaemia,40493039,Sepsis due to Salmonella
22,Shigellosis,201780,Shigellosis
23,Shigellosis due to Shigella dysenteriae,4282310,Infection due to Group A Shigella
24,Shigellosis due to Shigella flexneri,4145763,Infection due to Group B Shigella
25,Shigellosis due to shigella sonnei,4321384,Infection due to Group D Shigella
26,"Shigellosis, unspecified",201780,Shigellosis
27,Shigellosis due to shigella boydii,4185509,Infection due to Group C Shigella
28,Other shigellosis,440938,Infection by Shigella
29,Other bacterial intestinal infections,193402,Bacterial enteritis
30,Enteropathogenic escherichia coli infection,4345206,Enteropathogenic Escherichia coli gastrointestinal tract infection
31,Enterotoxigenic Escherichia coli infection,4345354,Enterotoxigenic Escherichia coli gastrointestinal tract infection
32,Enteroinvasive Escherichia coli infection,4345355,Enteroinvasive Escherichia coli gastrointestinal tract infection
33,Enterohemorrhagic Escherichia coli infection,4345207,Verotoxigenic Escherichia coli gastrointestinal tract infection
34,Other intestinal Escherichia coli infection,192815,Intestinal infection due to E. coli
35,Escherichia coli enteritis NOS,192815,Intestinal infection due to E. coli
36,Campylobacter enteritis,198334,Enteric campylobacteriosis
37,Enteritis due to Yersinia enterocolitica,433124,Infection by Yersinia enterocolitica
38,Enterocolitis due to Clostridium difficile,193688,Clostridium difficile infection
39,Antibiotic associated colitis,193688,Clostridium difficile infection
40,Pseudomembranous colitis,193688,Clostridium difficile infection
41,Other specified bacterial intestinal infections,193402,Bacterial enteritis
42,Bacterial enteritis NOS,193402,Bacterial enteritis
43,Enterohaemorragic escherichia coli infection,4345207,Verotoxigenic Escherichia coli gastrointestinal tract infection
44,Enteritis due to clostridium difficile,193688,Clostridium difficile infection
45,"Bacterial intestinal infection, unspecified",193402,Bacterial enteritis
46,"Other bacterial foodborne intoxications, nec",434854,Food poisoning
47,Foodborne staphylococcal intoxication,197776,Food poisoning due to staphylococcus
48,Enteritis necroticans,196324,Food poisoning due to Clostridium perfringens
49,Foodborne Vibrio parahemolyticus intoxication,438670,Food poisoning due to Vibrio parahemolyticus
50,Foodborne Bacillus cereus intoxication,4058528,Food poisoning due to Bacillus cereus
