mapping_num,description,omop_concept_id,omop_concept_name
LB00001,25-OH Vitamin D3(Serum),3020149,Calcidiol [Mass/volume] in Serum or Plasma
LB00002,갑상선자극호르몬(TSH)(Serum),3009201,Thyrotropin [Units/volume] in Serum or Plasma
LB00003,결핵균특이항원 자극 인터페론-감마(전용),42869528,Mycobacterium tuberculosis stimulated gamma interferon [Presence] in Blood
LB00004,기타 감염증 항체(정밀)-IgG-Rickettsia(Serum),3034897,Rickettsia sp IgG Ab [Units/volume] in Serum
LB00005,난포자극호르몬(FSH)(Serum),3023323,Follitropin [Units/volume] in Serum or Plasma
LB00006,뇌성나트륨이뇨펩타이드(WB(EDTA)),4307029,Brain natriuretic peptide measurement
LB00007,마이오글로빈(정량)(Serum),3006346,Myoglobin [Presence] in Serum or Plasma
LB00008,마이오글로빈(정량)(Urine (Random)),3011470,Myoglobin [Presence] in Urine
LB00009,면역글로블린정량(IgG)(C.S.F),3033455,IgG in CSF/IgG in serum
LB00010,면역글로블린정량(IgG)(Serum),3033455,IgG in CSF/IgG in serum
LB00011,모발미네랄검사(TMA)(Hair),4044361,Procedure on hair
LB00012,미량알부민검사(정량)(Urine (12hr)),40760483,Microalbumin [Mass/volume] in 12 hour Urine
LB00013,미량알부민검사(정량)(Urine (24hr)),3005031,Microalbumin [Mass/volume] in 24 hour Urine
LB00014,미량알부민검사(정량)(Urine (Random)),4020542,"Microalbumin measurement, urine, quantitative"
LB00015,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Abdominal abscess)",4165398,Mycology culture
LB00016,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Biopsy tissue)",3019439,Fungus identified in Tissue by Culture
LB00017,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(BM(Culture용))",3021697,Fungus identified in Bone marrow by Culture
LB00018,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Bone)",4165398,Mycology culture
LB00019,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Brain abscess)",4165398,Mycology culture
LB00020,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(CAPD)",4165398,Mycology culture
LB00021,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Close pus)",4165398,Mycology culture
LB00022,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Conjunctiva)",3019439,Fungus identified in Tissue by Culture
LB00023,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Cornea)",3019439,Fungus identified in Tissue by Culture
LB00024,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Ear Discharge)",4165398,Mycology culture
LB00025,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Eye Discharge)",4165398,Mycology culture
LB00026,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Hair)",3019359,Fungus identified in Hair by Culture
LB00027,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(IV Catheter Tip)",4165398,Mycology culture
LB00028,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Liver abscess)",4165398,Mycology culture
LB00029,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Lung abscess)",4165398,Mycology culture
LB00030,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Lymph node)",3019439,Fungus identified in Tissue by Culture
LB00031,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Nail)",3005433,Fungus identified in Nail by Culture
LB00032,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Open pus)",3035133,Fungus identified in Wound by Culture
LB00033,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Other(Please see message!))",3000494,Fungus identified in Unspecified specimen by Culture
LB00034,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Pelvis abscess)",4165398,Mycology culture
LB00035,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Pin)",4165398,Mycology culture
LB00036,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Rectal Swab)",3012927,Fungus identified in Stool by Culture
LB00037,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Skin)",3002951,Fungus identified in Skin by Culture
LB00038,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Stool)",3012927,Fungus identified in Stool by Culture
LB00039,"미생물배양,동정,약제감수성(기?Fungus culture(기타)(Suction Tip)",4165398,Mycology culture
LB00040,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(Amniotic Fluid)",3015592,Fungus identified in Body fluid by Culture
LB00041,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(Ascitic fluid(EDTA))",3000835,Fungus identified in Peritoneal fluid by Culture
LB00042,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(Ascitic fluid)",3000835,Fungus identified in Peritoneal fluid by Culture
LB00043,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(Bile juice)",3015592,Fungus identified in Body fluid by Culture
LB00044,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(Bone Marrow Biopsy)",3021697,Fungus identified in Bone marrow by Culture
LB00045,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(C.S.F)",3015592,Fungus identified in Body fluid by Culture
LB00046,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(Catheter)",4165398,Mycology culture
LB00047,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(Gastric juice)",3015592,Fungus identified in Body fluid by Culture
LB00048,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(Joint fluid)",3002444,Fungus identified in Synovial fluid by Culture
LB00049,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(Pericadial fluid)",3015592,Fungus identified in Body fluid by Culture
LB00050,"미생물배양,동정,약제감수성(혈?Fungus culture(혈액,체액)(Peritosol)",3000835,Fungus identified in Peritoneal fluid by Culture
