mapping_num,description,omop_concept_id,omop_concept_name
PT00001,객담 세포병리검사,2213212,"Cytopathology, fluids, washings or brushings, except cervical or vaginal; smears with interpretation"
PT00002,광범위절제술,4098214,Histopathology test
PT00003,뇌척수액 세포병리검사(CSF cytology),2213212,"Cytopathology, fluids, washings or brushings, except cervical or vaginal; smears with interpretation"
PT00004,"악성종양수술,림프절 미포함(Blocks 15개이하)",4157779,Excision of malignant neoplasm
PT00005,"악성종양수술,림프절포함(Blocks 20개이하)",4098214,Histopathology test
PT00006,"악성종양수술,림프절포함,Blocks 추가",4157779,Excision of malignant neoplasm
PT00006,"악성종양수술,림프절포함,Blocks 추가",4238646,Excision of lymph node
PT00007,액상 객담 세포병리검사,2213212,"Cytopathology, fluids, washings or brushings, except cervical or vaginal; smears with interpretation"
PT00008,액상 기관지세척 세포병리검사,2213212,"Cytopathology, fluids, washings or brushings, except cervical or vaginal; smears with interpretation"
PT00009,액상 소변 세포병리 검사,2213212,"Cytopathology, fluids, washings or brushings, except cervical or vaginal; smears with interpretation"
PT00010,액상 자궁경부 세포병리검사,4220448,Liquid based cervical cytology screening
PT00011,액상 흡인 세포병리검사,4332644,Liquid based cytologic material
PT00012,자궁질도말 세포병리검사,4238831,"Cytopathology, screening of smear, routine, genital source, by cytotechnologist"
PT00013,작은조직검사(<5CM),4098214,Histopathology test
PT00014,장기적출술,4098214,Histopathology test
PT00015,"절편이필요한조직및장기적출술,Blocks6개이하",4098214,Histopathology test
PT00016,"조직구축학적검사,림프절 미포함",4098214,Histopathology test
PT00017,큰조직검사,4098214,Histopathology test
PT00018,흡인 세포병리검사(Cell Block 미포함),2213212,"Cytopathology, fluids, washings or brushings, except cervical or vaginal; smears with interpretation"
PT00019,AFB Stain(Ascitic fluid),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00020,AFB Stain(Aseptic Urine (Cath)),3024850,Microscopic observation [Identifier] in Urine by Acid fast stain
PT00021,AFB Stain(Aseptic Urine (Voided)),3024850,Microscopic observation [Identifier] in Urine by Acid fast stain
PT00022,AFB Stain(Biopsy tissue),3012337,Microscopic observation [Identifier] in Tissue by Acid fast stain
PT00023,AFB Stain(Bone Marrow Biopsy),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00024,AFB Stain(Bronchial larvage),3016485,Microscopic observation [Identifier] in Bronchial specimen by Acid fast stain
PT00025,AFB Stain(C.S.F),3012625,Microscopic observation [Identifier] in Cerebral spinal fluid by Acid fast stain
PT00026,AFB Stain(CAPD),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00027,AFB Stain(Close pus),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00028,AFB Stain(EPS),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00029,AFB Stain(Eye Discharge),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00030,AFB Stain(Gastric juice),3025056,Microscopic observation [Identifier] in Gastric fluid by Acid fast stain
PT00031,AFB Stain(Joint fluid),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00032,AFB Stain(Lymph node),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00033,AFB Stain(Open pus),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00034,AFB Stain(Other(Please see message!)),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00035,AFB Stain(Pericadial fluid),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00036,AFB Stain(Pleural fluid),43054991,Microscopic observation [Presence] in Unspecified specimen by Acid fast stain
PT00037,AFB Stain(Sputum),3011588,Microscopic observation [Identifier] in Sputum by Acid fast stain
PT00038,AFB Stain(Stool),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00039,AFB Stain(Throat Swab),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00040,AFB Stain(Tracheal aspirate),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00041,AFB Stain(Urethral discharge),3027744,Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain
PT00042,AFB Stain(Urine (12hr)),3024850,Microscopic observation [Identifier] in Urine by Acid fast stain
PT00043,AFB Stain(Urine (24hr)),3024850,Microscopic observation [Identifier] in Urine by Acid fast stain
PT00044,AFB Stain(Urine (Random)),3024850,Microscopic observation [Identifier] in Urine by Acid fast stain
PT00045,Alcian Blue-PAS Stain,3005170,Microscopic observation [Identifier] in Tissue by Alcian blue stain.with periodic acid-Schiff
PT00046,Biopsy 10-12개,4098214,Histopathology test
PT00047,Biopsy 1-3개,4098214,Histopathology test
PT00048,Biopsy 1-3개 Consultation,4098214,Histopathology test
PT00049,Biopsy 4-6개,4098214,Histopathology test
PT00050,Biopsy 7-9개,4098214,Histopathology test
PT00051,BRAF 유전자 주 돌연변이(중합효소연쇄반응-제한효소절편길이다형법),40761583,BRAF gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
PT00052,CD20(B cell),4198740,CD20 B-cell count procedure
PT00053,CD3(T cell),4209239,CD3 T-cell count
PT00054,CD34,4193720,CD34 stem cell count
PT00055,CD56,3026757,CD56 cells [#/volume] in Blood
PT00056,CEA(병리과),4244721,Carcinoembryonic antigen measurement
PT00057,Chromogranin A,3006407,Chromogranin A [Mass/volume] in Serum or Plasma
PT00058,Cytokeratin (AE1/AE3),3040360,Cytokeratin AE1+AE3 Ag [Presence] in Tissue by Immune stain
PT00059,Cytokeratin 20,3040070,Cytokeratin 20 Ag [Presence] in Tissue by Immune stain
PT00060,Cytokeratin 7,3040479,Cytokeratin 7 Ag [Presence] in Tissue by Immune stain
PT00061,"Cytokeratin,High Molecular Weight",3030196,Cytokeratin cells [#/volume] in Blood
PT00061,"Cytokeratin,High Molecular Weight",4247001,Fitzgerald factor assay
PT00062,"DIF, C1q",3002140,Complement C1q [Mass/volume] in Serum or Plasma
PT00062,"DIF, C1q",4133315,Direct tissue immunofluorescence procedure
PT00063,"DIF, C3(병리)",3000581,Complement C3c [Mass/volume] in Serum or Plasma
PT00063,"DIF, C3(병리)",4133315,Direct tissue immunofluorescence procedure
PT00064,"DIF, C4",4133315,Direct tissue immunofluorescence procedure
PT00065,"DIF, Fibrinogen(병리)",3004157,Fibrinogen
PT00065,"DIF, Fibrinogen(병리)",4133315,Direct tissue immunofluorescence procedure
PT00066,"DIF, Ig A(병리)",4133315,Direct tissue immunofluorescence procedure
PT00066,"DIF, Ig A(병리)",4135810,Immunoglobulin A measurement
PT00067,"DIF, Ig G(병리)",4133315,Direct tissue immunofluorescence procedure
PT00067,"DIF, Ig G(병리)",4163378,Immunoglobulin G measurement
PT00068,"DIF, Ig M(병리)",4133315,Direct tissue immunofluorescence procedure
PT00068,"DIF, Ig M(병리)",4164130,Immunoglobulin M measurement
PT00069,D-PAS Stain(병리),4015319,Periodic acid-Schiff staining
PT00070,Estrogen Receptor,4307360,Oestrogen receptor assay (ERA)
PT00071,Frozen Biopsy (Pathology),2213295,Pathology consultation during surgery
PT00072,Galectin-3,43527903,Galectin-3
PT00073,Gram stain(Abdominal abscess),3019029,Microscopic observation [Identifier] in Pus by Gram stain
PT00074,Gram stain(Amniotic Fluid),3037167,Microscopic observation [Identifier] in Unspecified specimen by Gram stain
PT00075,Gram stain(Aqueous/vitreous Fluid),4307315,Gram stain microscopy
PT00076,Gram stain(Ascitic fluid),3037167,Microscopic observation [Identifier] in Unspecified specimen by Gram stain
PT00077,Gram stain(Aseptic Urine (Cath)),3003745,Microscopic observation [Identifier] in Urine by Gram stain
PT00078,Gram stain(Aseptic Urine (Voided)),3003745,Microscopic observation [Identifier] in Urine by Gram stain
PT00079,Gram stain(Aseptic urine(Suprapubic)),3003745,Microscopic observation [Identifier] in Urine by Gram stain
PT00080,Gram stain(Aspiration fluid),3000556,Microscopic observation [Identifier] in Aspirate by Gram stain
PT00081,Gram stain(Bile juice),3037167,Microscopic observation [Identifier] in Unspecified specimen by Gram stain
