mapping_num,description,omop_concept_id,omop_concept_name
RD00001,(알레르기)면역치료료,4057262,Allergen immunotherapy
RD00002,(Non Tunnel method)Intravenous Cath. for Hemodialysis,42872870,Insertion of nontunneled haemodialysis catheter
RD00003,(Tunnel method)Intravenous Cath. for Hemodialysis,40482732,Insertion of tunneled venous catheter
RD00004,갑상선기능검사-갑상선섭취율(Tc섭취율),3046356,Thyroid Scan and uptake W Tc-99m pertechnetate IV
RD00005,경구 약물 유발검사I ,4091609,Oral provocation test
RD00006,골밀도검사 (건강검진센터내),4195803,Bone density scan
RD00007,관절내 주사 (Intra-articular Injection),4101113,Intra-articular injection
RD00008,기관지가역성검사,4187457,Reversibility trial by bronchodilator
RD00009,기관지과민증검사,4064734,Bronchial allergy challenge
RD00010,당뇨병성 다발성 신경병증의 신체검사,4269024,Diabetic peripheral neuropathy screening
RD00011,두부규격촬영,4059905,Cephalometric analysis
RD00012,두위변환 안진검사(Dix-Halipike test),4138451,Dix-Hallpike manoeuvre
RD00013,두위안진검사(Positional Test),2313711,Positional nystagmus test
RD00014,문장완성검사,4232935,Incomplete sentence test
RD00015,비뇨기과 초음파 B,4037672,Ultrasonography
RD00016,비뇨기과 초음파 C,4037672,Ultrasonography
RD00017,비뇨기과 초음파 D,4037672,Ultrasonography
RD00018,산전 Quad Test(급여),4078287,Triple test
RD00019,상부 수면내시경 검사,4294382,Esophagogastroduodenoscopy
RD00020,상부 수면내시경 검사(수면유도료별도),4294382,Esophagogastroduodenoscopy
RD00021,상부 수면내시경(ONE STOP),4294382,Esophagogastroduodenoscopy
RD00022,성인 인지기능평가(PSY),2213558,"Psychiatric evaluation of hospital records, other psychiatric reports, psychometric and/or projective tests, and other accumulated data for medical diagnostic purposes"
RD00023,성인종합심리평가(PSY),2007690,Psychologic evaluation and testing
RD00024,수면 Colonoscopy,2002703,Colonoscopy
RD00025,수면 Colonoscopy(수면유도료별도),2002703,Colonoscopy
RD00026,수면 ERCP,2003203,Endoscopic retrograde cholangiopancreatography [ERCP]
RD00027,수면 UGI Endoscopic Polypectomy A,4217766,Resection of polyp
RD00028,시신경유두입체 연속촬영(양측),4071170,"Ocular photography for medical evaluation and documentation, stereophotography"
RD00029,신경과 인지기능검사2,4012466,"Assessment and interpretation of higher cerebral function, cognitive testing"
RD00030,신경심리검사3,4145254,Neuropsychological testing
RD00031,심전도-건강증진센터(4층),4187078,Electrocardiographic monitoring
RD00032,심전도검사,4187078,Electrocardiographic monitoring
RD00033,아동종합심리평가(PSY),2007690,Psychologic evaluation and testing
RD00034,알레르기 피부단자시험(80종),4242723,Prick test
RD00035,운동부하검사(센터내),3024337,Exercise stress test study
RD00036,유소아 청력검사,4203113,Child referral for audiometry
RD00037,자발및주시안진(VNG),2313710,"Spontaneous nystagmus, including gaze"
RD00038,"잔기량 및 용적가스 측정, 헬륨가스사용",3024313,Residual volume by Helium single breath
RD00039,장중첩증 비관혈적정복술,4219629,Reduction of intussusception of intestine
RD00040,진단목적의  편측 관상동맥조영술50%,4142645,Coronary angiography
RD00041,척추후근신경절(DRG) Block,4335033,Dorsal root ganglion block
