mapping_num,description,omop_concept_id,omop_concept_name
SR00001,(단안)유리체강내 아바스틴 주입술,4132634,Intravitreal antibiotic injection
SR00002,(비)경막외 Block(요추및천추),4110978,Lumbar epidural block
SR00002,(비)경막외 Block(요추및천추),4111151,Local anesthetic sacral epidural block
SR00003,(전공의)창상봉합술안면외단순1(근육),4296614,Suture of muscle
SR00004,(전공의)창상봉합술안면외단순2-1(2.5미만),4057680,Debridement and suture
SR00005,(전공의)창상봉합술안면이외단순1범위2.5-5미만,4125906,Suture open wound
SR00006,(전공의)창상봉합술안면이외단순1범위2.5미만,4125906,Suture open wound
SR00007,"(전공의)창상봉합안면단순1범위3CM,근육",4296614,Suture of muscle
SR00008,(FEMUR),4042326,Procedure on femur
SR00009,(FOREARM BONE),4044888,Procedure on bone of forearm
SR00010,(OR) Lumbar Puncture,4080549,Lumbar puncture
SR00011,(OR)교감신경절 Block (요부),4145563,Sympathetic ganglion block
SR00012,(OR)교감신경절 Block (흉부),4110981,Coeliac plexus block
SR00013,(OR)복강신경총 Block,4110981,Coeliac plexus block
SR00014,(OR)척추후근신경절(DRG) Block,4333816,Spinal nerve root block
SR00015,"(OR)Epidural Cath.Insert(지속적차단,삽입당일)",2110625,"Implantation, revision or repositioning of tunneled intrathecal or epidural catheter, for long-term medication administration via an external pump or implantable reservoir/infusion pump; without laminectomy"
SR00016,(OR)Facet Joint Block,4333297,Local anesthetic lumbar facet joint nerve block
SR00017,4-Vessel,4305699,CT angiography of cerebral artery
SR00018,가압근관충전(1근관당),4122350,Root canal obturation
SR00019,각막절삭술*엑시머수술,2721072,LASER IN SITU KERATOMILEUSIS (LASIK)
SR00020,갑상선설관낭종절제술,4287466,Excision of thyroglossal duct cyst
SR00021,결장경하점막하종양절제술,4139156,Endoscopic extirpation of lesion of colon
SR00021,결장경하점막하종양절제술,4152745,Excision of neoplasm
SR00022,결장경하종양절제술,4139156,Endoscopic extirpation of lesion of colon
SR00022,결장경하종양절제술,4152745,Excision of neoplasm
SR00023,결장경하출혈지혈법,4042815,Procedure on colon
SR00023,결장경하출혈지혈법,4274250,Endoscopy and control of hemorrhage
SR00024,"결장절제술(부분,림프절포함)",4181781,Extended hemicolectomy
SR00024,"결장절제술(부분,림프절포함)",4238646,Excision of lymph node
SR00025,"결장절제술(우반,좌반,림프절)",4079713,Colectomy
SR00025,"결장절제술(우반,좌반,림프절)",4238646,Excision of lymph node
SR00026,"결장절제술,하트만수술(림프절포함)",4042907,"Hartmann operation, rectal resection"
SR00027,겸자또는흡인분만초산제1태아,4189205,Delivery by vacuum extraction
SR00028,경막외 Block(경추및흉추),2110611,"Injection, epidural, of blood or clot patch"
SR00028,경막외 Block(경추및흉추),40756850,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with ultrasound guidance, cervical or thoracic; single level"
SR00028,경막외 Block(경추및흉추),4332580,LA - Local anaesthetic coccygeal nerve block
SR00029,경막외 Block(요추및천추),4110978,Lumbar epidural block
SR00029,경막외 Block(요추및천추),4111151,Local anesthetic sacral epidural block
SR00030,경부림프절절제술(심재성),4122781,Excision of cervical lymph node
SR00031,"경부림프절청소술(타수술동시,양측)",4302897,Radical lymph node dissection of neck region
SR00032,"경부림프절청소술(타수술동시,편측,근치적)",2002309,Radical excision of cervical lymph nodes
SR00033,"경부림프절청소술(타수술동시,편측,선택적)",4120958,Lateral lymph nodes neck dissection
SR00034,경요도적전립선절제술,4234536,Endoscopic resection of prostate
SR00035,경피적 Ureterolithotomy(PCN이용),2003571,Percutaneous nephrostomy with fragmentation
SR00035,경피적 Ureterolithotomy(PCN이용),4237124,Ureterolithotomy
SR00036,경피적척추성형술(제1부위),2005924,Percutaneous vertebroplasty
SR00037,고주파요법,4221867,Electrodesiccation
SR00038,고환적출술,4341536,Orchidectomy
SR00039,광범위 자궁적출및 양측골반임파,4021530,Radical hysterectomy
SR00039,광범위 자궁적출및 양측골반임파,4122784,Excision of pelvic lymph node
SR00040,구개인두성형술(비보험:UPPP),4307240,Uvulopalatopharyngoplasty
SR00041,근관성형술(1회만산정),4208099,Endodontic procedure
SR00042,근관장측정검사,4208099,Endodontic procedure
SR00043,근관확대,4208099,Endodontic procedure
SR00044,기타 혈관결찰술,4234382,Ligation of blood vessel
SR00045,내시경하상악동비내수술,4189601,Nasal sinus procedure
SR00045,내시경하상악동비내수술,4313889,Endoscopy
SR00046,내시경하하비갑개절제술,4197122,Turbinectomy
SR00046,내시경하하비갑개절제술,4313889,Endoscopy
SR00047,내시경하하비갑개점막하절제술,4138127,Endoscopic operation
SR00047,내시경하하비갑개점막하절제술,4197122,Turbinectomy
SR00048,도관삽입술(Catheter),2003564,Peritoneal dialysis
SR00049,티눈제거술(전기소작 도는 냉동),4041851,Removal of corn sinus
SR00050,배아이식 B,4327048,Embryo transfer
SR00051,복수안근(2근육),4214521,Squint correction operation
SR00052,복재정맥 전발거술 및 분지제거술(관통정맥결찰동반),4077150,Stripping of varicose saphenous vein
SR00053,복재정맥 전발거술 및 분지제거술(관통정맥결찰미동반,4077150,Stripping of varicose saphenous vein
SR00054,부분 체외순환 50%,4080965,Extracorporeal circulation procedure
SR00055,부분체외순환10시간초과익일부터[1일당]-ECMO 사용,4052536,ECMO - Extracorporeal membrane oxygenation
SR00056,부속기종양적출술[난소보전),4152745,Excision of neoplasm
SR00057,분만통증완화술,4021823,Pain control
SR00058,비급여 컴퓨터정액 검사,4040728,Seminal examination
SR00059,비성형술A(사비교정술),4048622,Rhinoplasty
SR00060,사시수술 (중),4214521,Squint correction operation
SR00061,상부소화관막하종양절제술(내시?,4140316,Fibreoptic endoscopic submucosal resection of lesion of upper gastrointestinal tract
SR00061,상부소화관막하종양절제술(내시?,4152745,Excision of neoplasm
SR00062,상부소화관출혈지혈법(내시경하),2002622,Endoscopic control of gastric or duodenal bleeding
SR00063,상부요관 결석제거술 by Flexible URS,4221391,"Ureterolithotomy, upper one-third of ureter"
SR00064,상실성부정맥고주파절제술,4049987,Radiofrequency ablation operation for arrhythmia
SR00065,"선택적 경추간공 경막외Block,1level",4078199,Local anaesthetic epidural block
SR00066,성상신경절 Block(PAN),2110778,"Injection, anesthetic agent; stellate ganglion (cervical sympathetic)"
SR00067,소형금속판의 제거술,4116584,Removal of plate from bone
SR00068,수면 Endoscopic Colonic Polypectomy A,4103380,Endoscopic polypectomy of large intestine
SR00069,수면중무호흡증후군수술(구개인두성형),4180122,Uvulopalatoplasty
SR00070,수술후 1일간 통증제거술,4021823,Pain control
SR00070,수술후 1일간 통증제거술,4145648,Preoperative/postoperative procedures
